objectid,filename,youtubeid,title,description,subject,interes,tipo_patrimonio,subgrupo_patrimonial,latitude,longitude,date_legal,date,acto_administrativo,creator,rights,source,identifier,type,format,folder_name
I1,,v=Ll-WTn2Xet0,Leyenda de Antón García de Bonilla,"La tradición popular ha creado una historia al rededor de un personaje, se dice que se escucha su caballo cabalgando por algunas calles de ocaña y algunos afirman haberlo visto",Fantasía; Personajes; Leyendas,Sin Definir,lenguas y tradición oral,Inmaterial,,,,,,,Hugo León Ortiz Castellanos,,,,,I1_Leyenda_Anton_Garcia
I2,,v=fBe5ZypCaYYY,Desfile de Los Genitores,Desfile donde se realizan comparsan donde se representa la historia de la ciudad,Cultura,Nacional,actos festivos y folclóricos,Inmaterial,,,2006,03-01-1959,Ley 1046 del 26 de julio de 2006,Don Carmen Eliecer Quintero Torrado; Alfonso Carrascal Claro; José Antonio Patiño; Carlos Torrado,La Opinión,http://guidoperezarevalo.org/OCANA/DESFILE_DE_LOS_GENITORES.pdf,,,,I2_Desfile_Los_Genitores
I3,,v=yHRPEHzl4Ro,Carnavales,"Fiesta que se realiza del 4, 5, y 6 de enero. Se realizan conciertos, reinado y el reinado de la tercera edad que se realiza desde el 2 de enero de 1982. ",Cultura,Sin Definir,actos festivos y folclóricos,Inmaterial,,,,04-01-1946,,don Henrique Ruiz Machuca; Ciro A. Osorio; Alejo Conde Pacheco; José Vicente Navarro; Orlando Trigos,ATN,,,,,I3_Carnavales
I4,,v=TyjCUKPBON0,Manifestación religiosa de la Virgen de Torcoroma,"La tradición oral cuenta que la imagen se les apareció a Cristóbal Melo y sus Hijos Felipe y José, quienes buscaban un árbol para hacer una ""canoa"" para fabricar sus dulces. Al dar el hachazo al árbol escogido que aunque era verano estaba florecido, salió una luz y la iamgen de María Santísima. La noticia se esparció rápido y comenzaron los primeros milagros. Esta celebración religiosa através a muchos fieles de todo el país. El 27 de junio de 206 fue aprobado el culto por el papa Pio X",Religión; Virgen de Torcoroma,Departamental,eventos religiosos colectivo,Inmaterial,,,2003,16-08-1711,Decreto 1144 de 2003,,Señal Colombia,https://www.senalmemoria.co/virgen-de-torcoroma-historia,,,,I4_Manifestación_Virgen_Torcoroma
I5,I5_culto_jesus_cautivo.jpeg,,Culto a Jesús Cautivo,"La imagen de Jesús Cautivo apareció en una pieda en su casa a la señora Atanasia Portillo, quien tropezó con la piedra. Notó que tenía una sombra pero no le dio mayor importancia, se la dio a uno de sus hijos para que jugara, días después volvió a tropezar y notó que la sombras eran más claras y dejaban ver la figura. Por lo que empezó a alumbrarla día y noche y poco a poco fue ganando creyentes.",Religión; Jesún Cautivo,Sin Definir,eventos religiosos colectivo,Inmaterial,,,,1846,,,Ocaña Hoy,https://www.facebook.com/photo/?fbid=1717224838426216&set=a.588096268005751,,,image/jpeg,I5_Culto_Jesus_Cautivo
I8,I8_arepa.JPG,,Arepa Ocañera,"La Arepa Ocañera es una comida diaria para los ocañeros, y muchas familias la consumen también en su desayuno. Lo que la hace especial es su peculiar característica: no lleva sal y al cocinarla se infla, creando una capa tostada, llamada pellejo, que la hace única. Por lo general, se rellena o se sirve con queso salado, aunque también se consume con con aguacate, huevo, pescado, carne u otros acompañamientos. Tradicionalmente, se prepara con maíz blanco precocido, aunque también se utilizar promasa, lo que ahorra el tiempo de la preparación del maíz.",Gastronomía,Sin Definir,cultura culinaria,Inmaterial,,,,,,,,,,,image/jpeg,I8_Arepa_Ocanera
I9,I9_pan_ocanero.jpg,,Pan Ocañero,"Es un plan suave y esponjoso de color blanco. Su origen se remonta a una bebida fermentada, esta se deja reposar por varios días. Se dice que la receta se fue difundiendo por las amas de casa hasta ser un producto industrializado.",Gastronomía,Sin Definir,cultura culinaria,Inmaterial,,,,,,,,,,,image/jpeg,I9_Pan_Ocanero
I10,I10_semana_santa.JPG,,Semana Santa,"Las celebraciones de la semana santa en Ocaña, reúnen una gran cantidad de fieles devotos que participan de las diferentes procesiones y actos religiosos, que son los más antiguos de la ciudad. Las imágenes religiosas fueron traídas desde Europa,",,Departamental,eventos religiosos colectivo,Inmaterial,,,2003,,Decreto 1144 de 2003,,,https://academiaocana.blogspot.com/search?q=semana+santa,,,image/jpeg,I10_Semana_Santa
IM1,IM1_complejo.JPG,,Complejo Histórico de la Gran Convención,"El complejo histórico de la Gran Convención está conformado por el templo, el claustro y la plazuela de San Francisco. En él se desarrolló la Gran Convención de 1828 donde se reuniéros próceres de la independencia para reformar la constitución de 1821",Historia; Política,Nacional,Arquitectura Religiosa,Inmueble,8.232.277,-73.355.183,1937,1584,Ley 75 del 22 de septiembre de 1937,,,,,,image/jpeg,IM1_Complejo_Historico_Gran_Convencion
IM2,IM2_santuario.JPG,,Santuario de Nuestra Señora de las Gracias de Torcoroma,"El Santuario de Nuestra Señora de las Gracias de Torcoroma, es un lugar de peregrinación de la ciudad. En este lugar se erigió una capilla en honor a la virgen que apareció a unos campesinos de la zona en 1711. En el Lugar se conserva la astilla de dónde salió la imagen de la virgen.",Religión; Virgen de Torcoroma,Nacional,Arquitectura Religiosa,Inmueble,8.212.204,-73.380.951,1972,1882,Decreto 1425 de 16 de julio de 1972 (Lista del patrimonio Actualizada jul 2023) - Decreto 2861 del 26 de noviembre de 1984,,,,,,image/jpeg,IM2_Sanuario_Virgen_Torcoroma
IM3,IM3_museo_anoton.jpg,,Museo de la Ciudad de Ocaña Antón García de Bonilla,"El museo que se encarga de salvaguardar y divulgar la historia de Ocaña, se encuentra en una casona colonial del siglo XVII. Se cree que perteneción a Antón García de Bonilla (el ocañero).",Arquitectura; Antón García de Bonilla,Departamental,Arquitectura Habitacional,Inmueble,8.238.424,-73.353.301,2003,1973,Decreto 1144 de 2003,,,http://www.museoscolombianos.gov.co/museos-del-ministerio-de-cultura/museo-anton-garcia-de-bonilla/Paginas/default.aspx,,,image/jpeg,IM3_Museo_Anton_Garcia
IM4,IM4_catedral.jpg,,Catedral de Santa Ana,La Parroquia de la Catedral de Santan Ana hace parte de la diócesis de Ocaña. Tiene un estilo arquitectónico ecléctico y cuenta con un retablo mayor de estilo barroco que fue restaurado en 2015,Religión,Departamental,Arquitectura Religiosa,Inmueble,8.234.808,-73.353.772,2003,1564,Decreto 1144 de 2003,,,https://catedralocana.wixsite.com/index/catedral,,,image/jpeg,IM4_Catedral_Santa_Ana
IM5,IM5_jesus_cautivo.JPG,,Iglesia de Jesús Cautivo,"El Santuario Parroquial Jesús Cautivo. alberga la aparición de Jesús Cautivo en una piedra, fue bendicida solemnemente en 1899. La iglesia fue construida en la misma casa donde apareció la imagen.",Religión; Jesús Cautivo,Departamental,Arquitectura Religiosa,Inmueble,8.230.447,-73.354.338,2003,1895,Decreto 1144 de 2003,,,,,,image/jpeg,IM5_Iglesia_Jesus_Cautivo
